post	target	implied_statement
antifa & other leftists are the ones constantly defending violent muslims & is	Muslims	Muslims are violent
another white man shot by blacks over confederate flag on his car via	black people	Black people are killers.
: us will have a civil war . stupid white libs who call white people privileged and racist	Liberals	Liberals are stupid.
" so ... black is the new  "" white "" ""  mr . lansing ? loony left . """	Liberals	Liberals hate whites.
they are just white people . not high in the pecking order with him .	whites	whites are not important
white culture is what you get when you put white ppl together . wh cultures have more in common w each other than nonwhite .	Minorities	Minorities are less than whites
very white of you .	white people	White people act a certain way.
7 ) alt-right defeatest in nature . ( i'm a member ) . trump's winning drove our winning enthusiasm . but too	Alt-right followers	Alt-right followers are weak
agree . i'm sick of these self-hating behavior and attitude from whites nowadays . it's more common in usa / western europe .	white people	White people hate other white people.
that's a consolationto be killed by a middle class  educated jihadi rather than by	Muslims	Muslims are out to kill others
" try thinking of some of our ideas & replace jews do .. w  "" "" white males "" "" shouldn't & think .. """	white males	White males are better than Jews.
schools in germany order girls to cover up to avoid being attacked by muslim invaders via	Muslims	Muslims are invaders.
islam phobia = is going to kill you	Muslims	Muslims want to murder people.
so zhids ordered stupid employees poor jew and other white collar working classlemmings that cal themselves	Jews	Jews manipulate others.
"  "" : the future of europe belongs to you  white man ! via "" "" """	Minorities	Minorities are the lesser races.
maybe you should build your thriving black communities far away where white people can't get to them	Black people	Black people need segregation
a black state is a good idea . get them out of here . white states are good ideas  too .	Black people	Black people are undesirable
and let's in only rich white immigrants  keeping out the undesirable  non-white poor which is its ultimate goal .	Poor minorities	Poor minorities are low class.
" rt  "" hutterites are a white anabaptist group that originated in austria in the 16th century . ... they are examples of the peaceful  idyllic life that all-white communities can create for themselves . "" "" - walter """	Minorities	Minorities destroy and ruin communities.
too bad there aren't any white people in oakland ...	Minorities	Minorities are inferior
seriously ? see baltimore  dc  detroit  chicago  st . louis  nola  every black nation in africa after european or indian withdrawal .	Blacks	Blacks have no leadership capacity
pro-white : the right of whites to a sense of racial consciousness  identity  pride  unity  organization & destiny . no hate #thursdaythoughts	White people	White people have voice silenced by minorities
are forever white racemass murderers ! ! !	Whites	Whites are racist and violent.
make america white again : saturdays nationalist unity gathering | traditionalist youth network	white people	White people are superior.
you can't be a jew and on the alt right . the alt right is woke to the jq	Jews	Jews are ignorant.
black activists call for lynching and hanging of white people and cops via	black activists	Black activists want to kill white people.
: is burning whites the new knock out game for blacks ?	black people	Black people want to hurt whites.
its cowardice that bannon denounced the alt right . i no longer support him	Conservatives	Conservatives are weak-willed
the black football player that punched a white girl in the face  gets to stay at school and continue playing . white privilege ?	Blacks	Blacks are held to a different standard
" rt :  "" breadth of the benefits the family was receiving was stunning "" "" : boston jihadis ' family raked in $ 100000 in welfare """	Muslims	Muslims are violent and steal.
another california public school persecutes a white student . #tcot #whitepeople	non-white people	non-white people are oppressors
" rt moinuddin chisti  the sufi  "" saint "" "" poisoned the lake in ajmer  to bring hindus down to their knees & "" "" embrace "" "" islam """	Muslims	Muslims hate Hindus
i think white self-hating should be treated like mental illness .	White people	White people hate their own
dr . david duke : will the white race survive ? ( video ) va	Minorities	Minorities are killing out the white race
" rt imagine being so crippled by white guilt  you become a  "" journalist "" "" and tell all white people they are 100 % racist . """	Progressives	Progressives advocate for white self-hatred.
white people are evil and deserve discrimination via #thanksjews	Whites	Whites are wicked
agreed . the white race has built and invented every aspect of modern civilisation .	White people	White people are superior.
what about all the blacks that kill other blacks on a daily basis ? shouldn't you be outraged over that ?	Black people	Black people are violent
whites are finally beginning to vote like other races--in their own interests .	Minorities	Minorities are self-serving.
and goes on to blame black and asian overrepresentation on white privilege . white people can't win !	white people	White people are being oppressed.
i dishonor kinslayers as my ancestors always did . lefties idolizing the murderer  rapist  thug  evil again .	Lefties	Lefties like criminals.
muslims hate jews . 18c has nothing to do with islamic jew hatred .	Muslims	Muslims hate Jews.
america is the name for the historical anglo protestant nation . the country  the usa  should be white .	white people	White people belong in the USA
extinction of america's white population speeds up #swrm #extinction #whitepopulation #whitegenocide	white people	White people are disappearing in America.
honestly we shouldnt have saved them . if nat socs won there would be no muslim invasion  germany would still be a bastion of masculinity and european identity . support mr . nehlen !	Muslims	Muslims are invaders.
now more than ever the white race need to band together . the world would love our extinction . we must stand up to them	white people	White people should stick together.
heroic 13 year old white girl stops brutal black robber-killer in south africa ! read more : via	Blacks	Blacks commit violent crimes.
i can't stand these people saying white lives matter is racist but black lives matter isn't . even worse the white ppl with blm	black lives matter supporters	Black Lives Matter supporters are racist.
because beautiful white  blonde haired babies are absolutely adorable and against everything they stand for . :(	non-white people	non-white people are impure
i want whites to actually win ; any pseudo-nazi / klan imagery works against thtat goal .	Minorities	Minorities are menial.
white pride should be encouraged & nourished . white guilt is self-hate & based on malicious lies  libel & slander .	white people	White people should be proud of themselves.
non whites already have groups to help them . the federal government  for instance .	Federal Government	Federal Government supports Non-whites
: : hate posters ? you want hate buddy ? read the koran . goo ...	Muslims	Muslims are hateful people
so dan carlin is uninformed about the nordics coming to america first ? that's testament to the anti-white narrative	Minorities	Minorities push hatred of whites
i'll just leave the white here .	white people	White people are priveleged.
from wide-eyed liberal to race realist - american renaissance via thanks	Minorities	Minorities are genetically deficient
detroit : the death of white civilisation #swrm via	Minorities	Minorities are wiping out whites
europeans are both white and genetically distinct from all other human groups .	Minorities	Minorities are subpar races.
obama encouraged civil unrest by condoning hate groups like blm . invited them to white house as a reward promoting violence against police !	Blacks	Blacks support aggression against the police
there is no future without past . their goal to to extriminate white race so the remaning	whites	exterminate the white race
this is your brain on civic nationalism	Liberals	Liberals are poisoning the brains of regular Americans
committed voter fraud on a mass scale  financially threatened tulsi gabbard  leaked debate questions to hillary clinton  funded isis	Liberals	Liberals trying to commit voter fraud and fund terrorists
we need to start enforce our laws . removing illegals and getting control of our visa's .	illegals	Illegals don't follow the laws.
slaves to rich leftists 2014 : the liberal left is always bashing white southerners and all white people for su ...	Liberals	Liberals don't like white southerners.
#charlottesville a day that will go down in white history	Minorities	Minorities are inferior
your religion was founded by a white man	Christians	Christians are inherently racist.
jewish harvard professor wants to abolish the white race via but i bet jews are okay in his eyes .	Jews	Jews hate whites
dr . david duke : the racial murder and rape of white women in america | read more : via	white women	white women are discriminated against
these people are not and will never actually be german . if a hamster is born in a fish tank  that doesn't make him a fish . #thursdaythoughts	Immigrants	Immigrants are inferior
i don't see anyone calling for genocides except against police and white people	Minorities	Minorities promote violence against whites
" i've been telling people  "" overwhelming diversity can / will undermine social cohesion "" "" """	Progressives	Progressives are trying to create anarchy
white genocide alert .. detroit : the death of white civilisation | more : via	white people	White people are dying out.
any other good jokes #gop #teaparty #kkk	non-white people	non-white people are inferior
anti-white race war slasher music clip teaches black children to hate and massacre : via	blacks	teach hate and massacre
" to be fair ( i support  "" european "" "" ethnic survival )  there is the same thing among some "" "" whites "" "" to blacks . """	Minorities	Minorities are inferior to whites
" rt dawa = > barbaric  totalitarian political ideology intent on enslaving all human beings for  "" allah "" "" imagine founding a club on these principles """	Muslims	Muslims are barbaric.
well  that's all allah is teaching them  kill  kill  kill and then kill some more . such a violent religion .	Islam	Islam is a violent religion
white genocide accelerates : university removes portaits of white male professors | more :	White genocide	White genocide is happening
not he ones that want global sharia #shariafree2016	Muslims	Muslims want to impose their laws on everyone
: stuff black people don't like - sbpdl : newark in 2012 : the predictable result of freedom . # t ...	Blacks	Blacks are inferior
tore * why do jews hate white advocacy so much ? you need to check your jewish privilege .	Jews	Jews are priveleged.
he should say that . he's an anti-white groid .	Blacks	Blacks hate whites.
" jewish rabbi lies about henry ford - father coughlin exposes liars   "" war mongers  international bankers  "" "" """	Jews	Jews are greedy money lovers.
white race is rich  so all want free lunches	white people	White people are rich.
the republican party is not pro white . people need to shed themselves of that delusion and build a white party !	minorities	minorities are racist
conservatism is dead . we're going to have white liberty or white fascism . and i choose liberty .	Minorities	Minorities try to take away white freedoms.
anti-white filth .	Minorities	Minorities hate whites
" not   "" i hope everyone is ok . "" "" but "" "" i really hope he's white . "" "" """	Minorities	Minorities are subpar humans
" if  "" black lives matter "" ""  why didn't that innocent 9 yr old's life matter when killed by a thug ? because black lies matter . """	Blacks	Blacks are dishonest
official : 75 % of berlin criminals are arabs #swrm #hmm via	Arabian people	Arabian people are criminals.
melding marxist socialism with jewish vulture capitalism + jewish corporatism = national socialism + fascism	Jews	Jews are greedy
: another anti-white racist attacks in obama's america ( video ) via	Blacks	Blacks victimize whites
democrats in white hoods have hung white republicans from nooses before  you don't scare us .	democrats	Democrats are killers.
your children will pay for your apathy . i mean every non white country on earth must be ignorant then right ?	non-white people	Non-white people are stupid.
#hillary getting illegal aliens to vote : #mexico #immigration #amnesty #treason	illegal aliens	Illegal aliens shouldn't be able to vote.
head for liberia  advance your people and be free of the white man .	Whites	Whites oppress blacks
tim wise is not white  he is jewish .	Jews	Jews are not white
i thought trump said he was going to kick these illegals out ?	illegals	Illegals should leave the country.
: if we enforce anything  especially radical sharia  above the constitution  we are traitors to our o ...	Muslims	Muslims are domineering extremists
"  "" they look white to me . "" "" - jewred taylor """	Jews	Jews don't like white people.
do u know why jew declare war on germany ? hitler made new economic in germany	Jews	Jews are subversive to nations
non-white invasion of italy : african migrants have seized 100 buildings in rome via	African migrants	African migrants are invading Italy.
you're distraught by the fact the video dispels myths / falsehoods of ' innocent ' black man assaulted by ' evil ' whites .	white people	White people are evil.
: russian tv report on france's white genocide by mass immigration : white people are disappearing from all over france ... ...	Immigrants	Immigrants are taking over.
anti-white un boss demands more non-white invasion into uk  despite major opposition | more :	non-whites	Non-white people are invaders.
all blacks came from white people ! the sons of god were white !	white people	White people are godly.
white privilege is racial slur created by racist blacks .	black people	Black people are racist.
if you acknowledge that whites are being targeted and you don't want to just roll over and die  you will be called a white supremacist .	Minorities	Minorities are dishonest
nationwide trend of black on white mob attacks	black people	Black people don't like white people.
uplift of the day #expeltheinvaders #europeforeuropeans	immigrants	Immigrants shouldn't be in Europe.
: bloom thanks g * d that america is not an ethnostate then ponders various fake forms of unity that leave jew	Jews	Jews are conspirators
we must secure the existance of our people and future for the white children ! !	Minorities	Minorities are substandard races
: italy is close to collapse from african immigration #p2 #tcot	Africans	Africans don't belong in Italy.
liberal scientists developing methods to make white people less resistant to non-white invasion #swrm #never	Immigrants	Immigrants are invaders
da jooh privilege strikes on whites once again while da somali privilege gets cleared right away with no court	Blacks	Blacks are given special treatment
" video : south african blacks attempt to kidnap white toddlers for ritual  "" muti "" "" murders via """	Black people	Black people are violent
liberal scientists developing methods to make white people less resistant to non-white invasion #swrm	Liberals	Liberals try to control others.
dressing like their dads or milton from office space . they selling me annuities insurance along with the ethnostate ?	Whites	Whites try to rip people off.
" rt quran commands warimam in britain says war is comingliberals demand more muslimsdemocrats are the  "" stupid party "" "" """	Liberals	Liberals like Muslims
you need the white boogeyman to justify your failures	non-white people	non-white people are unaccomplished
at least 60 white south africans were murder by racist blacks in the past two months via	black people	Black people are racist.
tony abbott : europe is being invaded by non-whites | read more : via	Immigrants	Immigrants are taking over
: has been proven right yet again ! for many years #davidduke has been warning people about #hollyweird etc .	white people	White people don't like people in Hollywood.
what ? that is white ? i said #whitelivesmatter too	white people	White people think they are important.
south africa white genocide escalates  international jew-controlled media remains in silence via	Jewish people	Jewish people control the media
ot god says jews r my chosen allah says last days trees cry muslim a jew is hiding behind me come kill him ?	Muslims	Muslims want to kill Jews.
zuckerberg's dream : the anti-white racist social network via the jew behind this rt	Jews	Jews are devious
where are ethnic norwegians going to ? they had better get their boats and invade us again ! we need back up .	Minorities	Minorities degrade the white race
according to leftists  we need to get rid of white people in general . you have legitimized white nationalism . thank you .	Leftists	Leftists hate whites
i find it offensive that chose anti-white indian to give response to #sotu . we need pro-white voices in gop .	Indians	Indians oppose whites
what ? i'm not allowed to hate illegal aliens ? i hate muggers too ! in fact i pretty much hate all criminals	Immigrants	Immigrants are in the same class as criminals
has numerous excellent articles on their site proving that white people are the only race who take care of the environment .	Minorities	Minorities are irresponsible
i wish to god i could live in a white ethno state . imagine how peaceful and friendly it would be .	white people	White people are peaceful.
our women the most beautiful . long live the white aryan race !	Minorities	Minorities are subpar humans.
and our 6 % to 10 % are high iq  high agency  creative young white men . you jews are only 2 %	young white men	Young white men are smarter than Jews.
germany spent 20 billion on invasion in 2016 #swrm #germany #immigrants via	Germans	Germans are invaders.
whites are the kulaks / christians of communism 2.0 . if we kill em  we'll be rich etc .	Whites	White people should die.
"  "" white lives matter "" "" reads of boomer """	Black people	Black people are inferior
calm down you quivering enthnomasochist . some people love being white .	Whites	Whites are self-hating
" how to spot a  "" racist "" "" #whitegenocide """	Minorities	Minorities are prejudiced against whites.
define immigrant . legal or illegal ? people tend blur the distinction  but the difference is black and white ! ( not being racist here )	Illegals	Illegals are criminals.
the hostility and contempt the jew has for the white man and his civilization cannot be more obvious . jews are openly at war with whites	Jews	Jews don't like white people.
white patriots should demonstrate at anti white politicians rallies  hold signs exposing their anti white actions !	Progressives	Progressives are against whites
it's okay in our country to have pride in your race as long as as it's not white pride	white people	White people can't be proud of their race.
ramadan begins in afghanistan : muslim murder 18 with jihad suicide car bomb	Muslims	Muslims kill innocent people.
american white for ever ... usa	whites	Whites belong in the USA.
switzerland : africans kill elderly white man then start screaming about racism #swrm #smh #racism via	Black people	Black people are hypocrites
i don't hate anyone i just hate systemic white supremacy .	white people	White people think they are better than anyone else.
& are anti-white racists . fomenting violence against white americans .	anti-white people	Anti-white people are racists.
" don't confuse  "" us citizen "" "" with "" "" american "" "" . that's a lie of the left . there is an authentic american culture and people . """	Leftists	Leftists are dishonest
" with every  "" antifa "" "" aggression  the eyes and minds of whites will be opened  and our movement will grow ever stronger ! """	antifa	Antifa is aggressive.
this is such a poor graphic . where are asians ? and how about we separate legal hispanic	Illegal hispanics	Illegal hispanics are a lower class.
: italian authorities have blocked access to stormfront in italy and arrested patriots for posting on it ! read more : h ...	Minorities	Minorities are inferior to whites
#macon ga : macon's mlk drive ebt marts are wrapped in anti-theft caging . and tacky  yellow anti-theft cages at that .	Blacks	Blacks commit crimes
thins stuff has to stop  if you're truly serious about stopping anti white hate crime join #whitehonor #betawards #venezuela	non-white people	non-white people are inferior
already destroyed 2/3 of christendom & people still don't get it . & jews tell us	Jews	Jews are against Christians.
here's a fact  if america was 100 % white it would be vibrant  prosperous &	non-white people	non-white people are a drag on society
leave milo alone . he is exposing white people for their hatred of white people	white people	White people hate other white people.
" i . e . it's not ok to be white  "" in minnesota """	white people	White people are not allowed in Minnesota.
if defending white heritage is hate to jewish groups  then lets call jewish organizations hate groups	Jewish people	Jewish people hate white people.
aye  well  i like the nineties . people were happy and confident and the diversity hadn't started to bite .	Minorities	Minorities are inferior
" rt three blacks kill a white man  "" for the fun of it . "" "" """	black people	Black people kill whites.
getting beat up at us flag rallies would be great for our cause at this point . show how much they hate heritage white america	white people	White people get a lot of hate.
asia for the asians ! africa for the africans ! white countries for everyone ! diversity means #chasingdownwhites . #whitegenocide	Immigrants	Immigrants are threatening
black people in #ferguson acted exactly like we expected them to	black people	Black people are predictable.
if you are a person of european  non-amerindian heritage  send us an application .	American Indians	American Indians are incompetent
detroit : the death of white civilisation | more : via	Minorities	Minorities push whites out
beautiful white nationalism .	Minorities	Minorities are the lower races of people.
the lives of identity europa movement do not matter . indeed they are a burden to those of us who did not abdicate our humanity .	White supremacists	White supremacists are inhuman.
crazed relative of mixed race who can't pass the test and blames every white for saying why .	Biracials	Biracials blame others for their problems.
white pride knows it  the world white heritage union knows	Minorities	Minorities are substandard races
" rt obama -  "" son of islam "" "" ? : #islam #islamophobia #tcot """	Islamic people	Islamic people are dangerous.
it's funny you know  how many jewish people work for slate  or even twitter . they se	Jewish people	Jewish people work for Twitter.
being racist and being aware of a race problem are different things . i don't hate a race . i just love mine . we have a racial invasion here .	Minorities	Minorities are taking over society
the birth of white identity in colonial america via	white people	White people belong in America.
white genocide is not peace	Minorities	Minorities want to wipe out whites
" european  "" refugee "" "" crisis worsens #wakeupamerica #whitelivesmatter """	Immigrants	Immigrants are invaders
the modern young white male is poisoned and distracted by the stupid social media culture ( & tv ) where anything goes and everyone race mixes .	white people	White people have been brainwashed.
does white supremacy make black women kill their babies at planned parenthood ?	Blacks	Blacks are violent and barbaric.
aryan men and women may not to kneel to anybody ! ! !	Minorities	Minorities are beneath whites.
ok ... here he is in his own words advocating a white ethnostate .	Whites	Whites are racist
if it's white it's right	non-white people	non-white people are wrong
1 ) so when white peoples and cultures are being eradicated it's not your problem  but when non-whites remove white people  then it's whining	whites	whites are being eradicated
too good to be true ? ? whitey fights back ! ! southern italian town world's ' only white town ' after ethnic cleansing	Minorities	Minorities are inferior
blacks are 49 times more likely to assault a white than a white is to assault a black . whites need to separate to protect their families	Blacks	Blacks commit violent crimes more than whites.
dr . david duke : will the white race survive ? ( video ) via	People of color	People of color want to eliminate white people
savage british man eaters ! blaming adolf hitler ! !	Minorities	Minorities are primitive and brutal.
zuckerberg's dream : the anti-white racist social network | more : via	whites	anti-white actions from social media
you can have white children and still burn the coal .	Minorities	Minorities are inferior
a certain 1400 years old religious ideology has proven to be the biggest killing machine of innocent people in human history	Muslims	Muslims are killers
" assaults white student and blames  "" white violence . "" "" #blm #whitegenocide #blacklivesmatter """	non-white people	non-white people are violent hypocrites
and on the same day a bunch of over paid black athletes protest whitey's oppression . white guilt is rea	whites	whites have racist guilt
i'm sure they will protect a gay jew .	Gays	Gays are inferior.
white genocide accelerates is france : at least 1 in 3 newborns are non-white | read more :	Minorities	Minorities want to see whites die off.
i'm pro-white and want whites to engage in identity politics and assert their own political ambitions  like every other race does .	white people	White people don't engage in politics.
the south has already risen again . dixie has an economy larger than germany . we just need independence	southerners	Southerners should be independent.
#kasich won't lift a finger to protect whites from blacks or even warn them . some of them need warning .	Black people	Black people are dangerous
oprah knows what to do: kill white people ! ! ! #altrightrecent black on white and black on asian murders with oprah !	black people	Black people want to kill white people.
the real face of islam ! #wakeupamerica #tcot #ccot #nosharia #trump	Muslims	Muslims are dishonest
hi  i'm white and hung like the statues in your posters . can i join your group please ?	Minorities	Minorities are substandard races.
xtian left is digging its own grave by appeasing islam  nobel peace prize was awarded to an indian for denouncing hinduism .	Leftists	Leftists pander to others
race war in nyc : black power militants storm restaurants and harass white patrons via #waronwhites	Blacks	Blacks victimize whites
oh right & that celebration of whites dying out while feeding off of their tax dollars according to you	white people	White people are dying out.
it's weird how skinny white kids who hate identity politics love identity politics so much	skinny white kids	Skinny white kids love politics.
its my understanding that most abortions are by white women . judging from the surge in the non white population it	white people	White people have more abortions than other races.
i had some boomer cuck tell me ' take that pic down patton would have gone into syria '	old people	Old people are stupid.
: when whitey won't stand up for himself ... ' hundreds of young black people beating white people ' ...  ...	Black people	Black people are violent and attacking white people
" i like jared taylor .  "" he white "" "" """	non-white people	non-white people are undesirable
white people are the only people hate crime laws are suppose to apply to . any hate crime committed by any other race likely had jewish victims . only way for them to make the list .	Jews	Jews control the world
zionists want multi cultural europe and jewish only israel : via	Zionists	Zionists wants multi cultural Europe and jewish Israel
happen in america ... unless a majority of white people are muslims we dont have anything to fear	Muslims	Muslims are dangerous
because the media do not care if your white and are attacked by leftist  illegals  or any other race	People of color, Democrats	People of color and democrats don't care about white people
germany : muslim immigrants from africa claim they .. control all of the german	Muslims	Muslims want to be in control.
so .. how do all those little black people like those mighty white antifa warriors defending thier existence . it must be refreshing to themlol	Antifa	Antifa is defensive of black people.
border wall build it	immigrants	Immigrants shouldn't be in the country.
it won't be long before ( name your liberal group here ) all won wwii for america . those white guys carried the water and bullets .	whites	anti white discrimination
2 / there is currently an unprecedented assault taking place on the free speech of american citizens by anti-white corporate interests .	Liberals	Liberals limit free speech
these thugs don't care about race . that's a cover there using . they hate and want to destroy america .	Black people	Black people are a threat to America
" gotta be a lame joke . like  "" nonviolent jihad "" "" ( oxymoron ) is okay ... """	Muslims	Muslims promote violence.
i'm glad twitter only cares about hate and racism from one race . just who are the people that live in	whites	anti-white on social media
the splc is an anti-white organization . you're just proving his point . they hide hate cr	SPLC members	SPLC members hate white people.
#democrat senator byrd was a exalted cyclops of the #kkk .	Democrats	Democrats are racist.
golden dawn's leader interviewed about the holocaust myth ( video ) via	Jews	Jews are liars
they are all heros to the black community . make no mistake a whole lot of black people hate white people ! !	Blacks	Blacks are racists
white genocide in the united states of america a 100 year history #swrm #whitegenocide #usa via	white people	White people in America are dying.
that guy in the back is not antifa and neither was heather heyer you cuck	Conservative males	Conservative males are effeminate
the ongoing war against white people : european front	white people	White people are in danger.
" you are ok with amalgamation of african people into  "" black "" ""  all we're doing is the same thing to become "" "" white "" "" """	Minorities	Minorities are inferior races
black people only seem to thrive in white countries . how strange .	black people	Black people can't survive without white people.
muslims kill non-muslims because they kill non-muslims . period . vj is a hate america first-er . that's why obama hired him .	Muslims	Muslims kill Non-Muslims
then you pay for illegals free services too . fair enough ?	Immigrants	Immigrants are freeloaders
" it would have much more success with normies and i don't like being rude or hating non-whites who are sometimes decent people ... inb 4  "" cuck "" "" """	whites	whites are racists
... criticism as islamophobia and / or racist abuse because you are scared .	Whites	Whites are cowards
believes trump supporters are the dregs of white america . no  we are the angriest about what has happened to white america	Minorities	Minorities have pushed whites aside.
liberals demean our own heritage yet revere foreign culture either out of guilt or an inferiority complex .	Liberals	Liberals are weak and feeble
preparing for race war : the south african bootcamps which are training thousands of white youths via	South Africans	South Africans are violent.
" but every time i ask why black people do so much more crime people tell me it's  "" culture "" "" """	Black People	Black people commit most crimes
some thoughts : 1 ) here is the issue : as pro-white activists  we need to be serving the average white person more directly . there needs to be a volunteer organization with the sole intent of helping white people in economic problems . think of it like a salvation army for whites	non-white people	non-white people are inferior
was this meant to highlight white liberals ironic distaste for being anywhere near nonwhites ? or was it about the horrific white birthrate ?	whites	whites feel superior
all whites must unite and stand strong  it's about time . get off your knees white man and white woman ! !	Minorities	Minorities shame whites with guilt.
anti-racist activist raped by non-white illegal immigrant after attending anti-racism festival va	non-white immigrants	Non-white immigrants are criminals.
muslim refugees  thats what happened . dirty pigs ..	Muslim refugees	Muslim refugees degrade society
this ^ the white race's response  or lack thereof  2 these attempts 2 eradicate our past &	Minorities	Minorities kill out white culture
i'm a strasserist which means technically that i'm a leftist . i see capitalism as the enemy of european culture .	Rich people	Rich people destroy society
agreed . the white race got too selfish and stopped having kids in exchange for materialism . now they're done .	white people	white people are selfish
" rt abc news video :  "" young and racist "" "" - white separatist movement's rising star | read more : """	white people	White people are racist
really wanted him to be white !	non-white people	non-white people are inferior
ritual muti killings is a way of life in rural areas of black south africa via	Black people	Black people are violent
anonymous tweeting is new white hood rt : blacks absolutely should go back to africa .	black people	Black people should go back to Africa.
thank god there are still strong white men like that don't #cuck like the #altlight #newright	Conservative males	Conservative males are weak and feeble
many whites are waking up to the wonder and pride of being white . defend your race and culture . white americans are america	white people	White people should be proud to be white.
= = = has shown he puts illegal aliens  refugees before us citzens .. he must be defeated .	US citizens	US citizens are more important than aliens.
no  it's committed by non-whites . that was an entirely racial situation in san jose . call it like it is .	Minorities	Minorities promote racism
latvia : thousands hold stop white genocide rallies | read more : via	white people	White people are dying out.
y believe in the noble white myth that whites are a peaceful race that never	white people	White people are full of peace.
welcome to the republican party . it's just a few people clinging to their power positions . let's fire them !	Republicans	Republicans want to dominate others.
" rt judge rules illegal alien incompetent to stand trial for dui death because of  "" unique cultural background "" "" ! ... """	illegal immigrant	immigrants are criminals
this #corrupt #us government is very #racist - it hates #whitepeople with a passion . ( hint #zog )	US government	US government hates white people.
come together white people or perish	white people	White people need to stick together.
all white are not aryans ; why are they trying to board the bandwagon of aryans ?	non-aryans	non-aryans are not pure
jews say whites should love their own demise . for whites to love white life is to hate their own demise . that is hate	Jews	Jews don't like white people.
" . all jews aren't  "" white "" ""  you idiot . """	Jews	Jews are not white
" always place the race card first .  "" those racist muslims are ... "" "" or "" "" those racist supporters of islam ... "" "" """	Muslims	Muslims are racist.
his last name is klein and he hangs around with a pan-eurasianist duginist nazbol crypto-jew . these are not trustworthy people .	Jews	Jews are sneaky.
cuckservatives : french family edition via #cuckservative #whitegenocide #transracial	Conservative males	Conservative males are feeble and ineffective.
patriotic germans demand angela merkel be hung for attempting to genocide the german people via	Progressives	Progressives are killing the white race
did he condemn the somali who murdered a ' white woman ? why are they even here ?	Somalis	Somalis kill white people.
: thats right . they are proud of the fact that the white race is being led to its death ... the greatest race to eve ...	white people	White people are dying out.
even here i can see under the caps are no white people - looks like obama and his devout moslims	Muslims	Muslims don't like white people.
yet nazis are dominating your politics today  white race is in danger ; u must know	Whites	Whites are racists.
" white people have threatened the safety of  "" americans "" "" since the beginning  before this was even america """	White people	White people are violent and have a history of killing people
nonsense . monuments to evil still remain . washington jefferson they owned slaves it's good . white race might will never die due to ignorance	Whites	Whites are stupid
denying the existence of white culture is white culture  you nimwit .	Whites	Whites are dishonest
the antifa are white supremacist pretending to be against hate  but then spread fear to start war.we dont hate even when we disagree .	Antifa	Antifa are white supremacists.
jewish harvard professor wants to abolish the white race ! via	Jews	Jews hate white people.
a nation is a product of race  culture and heritage of which a multicultural society destroys . white people need a land of their own .	Progressives	Progressives want to wipe out the white race
white pride march in wales passes off peacefully via	white people	White people are peaceful.
hey u pay ben ben u said that not enough money in israel to pay meso ben and kkk netanyahu away ad min	Israelites	Israelits lie about not having enough money since they support racism.
" rt  "" our country was advancing in its high regard for women  leaving the barbaric days of back-alley abortions . "" "" """	Conservatives	Conservatives are backwards
well that's because there is no such thing as white privilege ! that's just a sham created by an old  evil  communist white guy by the name of soros to divide our country ! only self loathing  white sjw with a guilty conscience for their own bias  believe the white privilege myth !	Jews	Jews are devious and deceitful
white because white supremacy	white people	White people are better than other races.
this magnifies ( ( ( proliferating ) ) ) anti-white agenda.the problem ~ many euro-descent millennials see ( ( ( them ) ) ) as white not ( ( ( subversion ) ) )	Minorities	Minorities are in opposition to whites.
" maybe you have a point  but are they  "" white supremacists "" "" doing the sabotaging  or are they "" "" jewish supremacists "" "" ? """	Jews	Jews are cunning and sneaky.
white christians can assimilate with white christians in a white christians culture.the fantasy that that can be extended to every race is failing before our eyes .	white folks	white folks are racists
we must learn from the mistakes of our ancestors . hitler made a deal with them and look what they did to him .	Nazi	that America betrayed Hitler
" rt uk convert to #islam  "" i can't love my mum because she's not muslim "" "" #islamophobia #tcot #antimuslim """	Muslims	Muslims are hateful.
i agree . we need to understand islamic ideology and the threat it poses .	Muslims	Muslims are a threat to society.
black vs white crime  larry elder	Blacks	Blacks commit most of the crime.
michelle obama goes on racist tirade against white men at womens conference in pennsylvania	Blacks	Blacks are bigoted
america needs a national front that will be of use to white americans .	white Americans	White Americans are left out.
ys  it may b possible ; islamists have already warned us  india and other countries	Muslims	Muslims threaten others.
we are asking for prospective decree ; national limit on population ; balancing population is must 4 earth	immigrants	Immigrants need to be curbed in order to achieve national limit and balance on population.
#defundnfl stop paying to make people who hate you  your nation  your people rich . #wakeupwhiteman	white people	White people depend on minorities.
pls don't deliberately mislabel jared as a white supremacist . race realism ! = white supremacism .	Minorities	Minorities are inferior to whites
why are white nationalist white people who resist islam labelled racist ?	Muslims	Muslims are dangerous
#projectsiege continues unabated . we will not rest until alt-right ideas are represented on college campuses nationwide . #sdsu	Liberals	Liberals stifle free speech
just mad because we stand by trump ! ur not immune frm terrorists  bill-they hate elite white men !	Muslims	Muslims hate whites
#reginalddennyday #wpww #whitegenocide #whitegenocide #antiracisthitler #gaza	white people	White people are dying out.
such a display of enthusiastic flag-waving is sure to outrage the powers that be in the eu . nationalism isn't dead  and that's a good thing	Foreigners	Foreigners ruin societies
white genocide accelerates in france : at least 1 in 3 newborns are non-white | read more :	Minorities	Minorities attack whites.
white extinction is victory tbh	white people	White people should die.
all hollowed out : the lonely poverty of america's white working class	Minorities	Minorities have decimated poor white society.
